a	aː
aðflugsstefnu	a ð f l ʏ x s t ɛ p n ʏ
aðframkomnir	a ð f r a m k ɔ m n ɪ r
aðföng	a ð f œy ŋ k
aðför	a ð f œ r
aðgang	a ð k au ŋ k
aðgangi	a ð k au ŋ c ɪ
aðgangs	a ð k au ŋ k s
aðgangsbox	a ð k au ŋ s p ɔ k s
aðgangseyri	a ð k au ŋ k s eiː r ɪ
aðgangseyrir	a ð k au ŋ k s eiː r ɪ r
aðgangsharðir	a ð k au ŋ s h a r ð ɪ r
aðgangsorð	a ð k au ŋ s ɔ r ð
aðgangstölur	a ð k au ŋ k s t œː l ʏ r
aðgangstölurnar	a ð k au ŋ k s t œː l ʏ t n a r
aðgangur	a ð k au ŋ k ʏ r
aðgát	a ð k au t
aðgengi	a ð c ei ɲ c ɪ
aðgengileg	a ð c ei ɲ c ɪ l ɛ ɣ
aðgengilega	a ð c ei ɲ c ɪ l ɛ ɣ a
aðgengilegan	a ð c ei ɲ c ɪ l ɛ ɣ a n
aðgengilegar	a ð c ei ɲ c ɪ l ɛ ɣ a r
aðgengilegri	a ð c ei ɲ c ɪ l ɛ ɣ r ɪ
aðgengilegt	a ð c ei ɲ c ɪ l ɛ x t
aðgengilegur	a ð c ei ɲ c ɪ l ɛ ɣ ʏ r
aðgerð	a ð c ɛ r ð
aðgerða	a ð c ɛ r ð a
aðgerðalaus	a ð c ɛ r ð a l œyː s
aðgerðaleysi	a ð c ɛ r ð a l eiː s ɪ
aðgerðanna	a ð c ɛ r ð a n a
aðgerðarleysi	a ð c ɛ r ð a l eiː s ɪ
aðgerðin	a ð c ɛ r ð ɪ n
aðgerðina	a ð c ɛ r ð ɪ n a
aðgerðinni	a ð c ɛ r ð ɪ n ɪ
aðgerðir	a ð c ɛ r ð ɪ r
aðgerðirnar	a ð c ɛ r ð ɪ t n a r
aðgerðum	a ð c ɛ r ð ʏ m
aðgerðunum	a ð c ɛ r ð ɔ n ʏ m
aðgreina	a ð k r ei n a
aðgreiningar	a ð k r ei n i ŋ k a r
aðgæslu	a ð c ai s t l ʏ
aðgæta	a ð c ai t a
aðgöngumiða	a ð k œy ŋ k ʏ m ɪː ð a
aðhafast	aː ð h a v a s t
aðhafst	aː ð h a f s t
aðhald	aː ð h a l t
aðhaldi	aː ð h a l t ɪ
aðhalds	aː ð h a l t s
aðhaldssamur	aː ð h a l t s aː m ʏ r
aðhlynningar	aː ð l̥ ɪ n i ŋ k a r
aðhlynningu	aː ð l̥ ɪ n i ŋ k ʏ
aðhyllast	aː ð h ɪ t l a s t
aðhyllist	aː ð h ɪ t l ɪ s t
aðhylltist	aː ð h ɪ l̥ t ɪ s t
aðila	aː ð ɪ l a
aðilann	aː ð ɪ l a n
aðilar	aː ð ɪ l a r
aðilarnir	aː ð ɪ l a t n ɪ r
aðild	aː ð ɪ l t
aðildar	aː ð ɪ l t a r
aðildarfélaga	aː ð ɪ l t a r f j ɛː l a ɣ a
aðildarfélög	aː ð ɪ l t a r f j ɛː l œ ɣ
aðildarlanda	aː ð ɪ l t a r l a n t a
aðildarlöndum	aː ð ɪ l t a r l œ n t ʏ m
aðildarríki	aː ð ɪ l t a r i c ɪ
aðildarríkin	aː ð ɪ l t a r i c ɪ n
aðildarríkja	aː ð ɪ l t a r i c a
aðildarríkjanna	aː ð ɪ l t a r i c a n a
aðildarríkjum	aː ð ɪ l t a r i c ʏ m
aðildarríkjunum	aː ð ɪ l t a r i c ɔ n ʏ m
aðildarumsókn	aː ð ɪ l t a r ʏ m s ou h k n̥
aðildarviðræðum	aː ð ɪ l t a r v ɪ ð r ai ð ʏ m
aðildarviðræður	aː ð ɪ l t a r v ɪ ð r ai ð ʏ r
aðili	aː ð ɪ l ɪ
aðilinn	aː ð ɪ l ɪ n
aðilum	aː ð ɪ l ʏ m
aðkallandi	a ð k a t l a n t ɪ
aðkasti	a ð k a s t ɪ
aðkoma	a ð k ɔ m a
aðkoman	a ð k ɔ m a n
aðkomu	a ð k ɔ m ʏ
aðkomufólk	a ð k ɔ m ʏ f ou l̥ k
aðkomumanna	a ð k ɔ m ʏ m a n a
aðkomumenn	a ð k ɔ m ʏ m ɛ n
aðkomumönnum	a ð k ɔ m ʏ m œ n ʏ m
aðkomunni	a ð k ɔ m ʏ n ɪ
aðlaðandi	a ð l a ð a n t ɪ
aðlaga	a ð l a ɣ a
aðlagað	a ð l a ɣ a ð
aðlagast	a ð l a ɣ a s t
aðliggjandi	a ð l ɪ c a n t ɪ
aðlögun	a ð l œ ɣ ʏ n
aðlögunartíma	a ð l œ ɣ ʏ n a r t iː m a
aðnjótandi	a ð n j ou t a n t ɪ
aðra	a ð r a
aðrar	a ð r a r
aðrir	a ð r ɪ r
aðsetur	a ð s ɛ t ʏ r
aðsigi	a ð s i j ɪ
aðskildi	a ð s c ɪ l t ɪ
aðskildir	a ð s c ɪ l t ɪ r
aðskildu	a ð s c ɪ l t ʏ
aðskildum	a ð s c ɪ l t ʏ m
aðskilið	a ð s c ɪ l ɪ ð
aðskilin	a ð s c ɪ l ɪ n
aðskilja	a ð s c ɪ l j a
aðskilnað	a ð s c ɪ l n a ð
aðskilnaðarsinna	a ð s c ɪ l n a ð a r s ɪ n a
aðskilnaði	a ð s c ɪ l n a ð ɪ
aðskilnaður	a ð s c ɪ l n a ð ʏ r
aðskotadýr	a ð s k ɔ t a t iː r
aðskotahlut	a ð s k ɔ t a l̥ ʏ t
aðskotahlutur	a ð s k ɔ t a l̥ ʏː t ʏ r
aðsókn	a ð s ou h k n̥
aðsóknar	a ð s ou h k n a r
aðsóknin	a ð s ou h k n ɪ n
aðspurð	a ð s p ʏ r ð
aðspurðra	a ð s p ʏ r ð r a
aðspurður	a ð s p ʏ r ð ʏ r
aðstaða	a ð s t a ð a
aðstaðan	a ð s t a ð a n
aðstandenda	a ð s t a n t ɛ n t a
aðstandendum	a ð s t a n t ɛ n t ʏ m
aðstandendur	a ð s t a n t ɛ n t ʏ r
aðsteðjandi	a ð s t ɛ ð j a n t ɪ
aðstoð	a ð s t ɔ ð
aðstoða	a ð s t ɔ ð a
aðstoðað	a ð s t ɔ ð a ð
aðstoðaði	a ð s t ɔ ð a ð ɪ
aðstoðar	a ð s t ɔ ð a r
aðstoðardeildarstjóri	a ð s t ɔ ð a r t ei l t a r s t j ouː r ɪ
aðstoðarforingja	a ð s t ɔ ð a r f ɔː r i ɲ c a
aðstoðarforstjóri	a ð s t ɔ ð a r f ɔ r̥ s t j ou r ɪ
aðstoðarforsætisráðherra	a ð s t ɔ ð a r f ɔ r̥ s ai t ɪ s r auː ð h ɛ r a
aðstoðarframkvæmdastjóri	a ð s t ɔ ð a r f r a m k v ai m t a s t j ouː r ɪ
aðstoðarmaður	a ð s t ɔ ð a r m aː ð ʏ r
aðstoðarmaðurinn	a ð s t ɔ ð a r m aː ð ʏ r ɪ n
aðstoðarmann	a ð s t ɔ ð a r m a n
aðstoðarmanna	a ð s t ɔ ð a r m a n a
aðstoðarmanni	a ð s t ɔ ð a r m a n ɪ
aðstoðarmanns	a ð s t ɔ ð a r m a n s
aðstoðarmenn	a ð s t ɔ ð a r m ɛ n
aðstoðarmönnum	a ð s t ɔ ð a r m œ n ʏ m
aðstoðarráðherrann	a ð s t ɔ ð a r auː ð h ɛ r a n
aðstoðarskólastjóri	a ð s t ɔ ð a r s k ouː l a s t j ouː r ɪ
aðstoðaryfirlögregluþjónn	a ð s t ɔ ð a r ɪː v ɪ r l œ ɣ r ɛ k l ʏ θ j ou t n̥
aðstoðarþjálfari	a ð s t ɔ ð a r θ j au l v a r ɪ
aðstoði	a ð s t ɔ ð ɪ
aðstoðina	a ð s t ɔ ð ɪ n a
aðstoðuðu	a ð s t ɔ ð ʏ ð ʏ
aðstæðna	a ð s t ai ð n a
aðstæðum	a ð s t ai ð ʏ m
aðstæðunum	a ð s t ai ð ɔ n ʏ m
aðstæður	a ð s t ai ð ʏ r
aðstæðurnar	a ð s t ai ð ʏ t n a r
aðstöðu	a ð s t œ ð ʏ
aðstöðuna	a ð s t œ ð ʏ n a
aðstöðunni	a ð s t œ ð ʏ n ɪ
aðvaraði	a ð v a r a ð ɪ
aðvart	a ð v a r̥ t
aðventista	a ð v ɛ n̥ t ɪ s t a
aðventistar	a ð v ɛ n̥ t ɪ s t a r
aðventkirkjan	a ð v ɛ n̥ t c ɪ r̥ c a n
aðventu	a ð v ɛ n̥ t ʏ
aðventukvöld	a ð v ɛ n̥ t ʏ k v œ l t
aðventunni	a ð v ɛ n̥ t ʏ n ɪ
aðvörun	a ð v œ r ʏ n
af	aː v
afa	aː v a
afar	aː v a r
afarkosti	aː v a r kʰ ɔ s t ɪ
afarnir	aː v a t n ɪ r
afbakar	a v p a k a r
afber	a v p ɛ r
afbera	a v p ɛ r a
afborgana	a v p ɔ r k a n a
afborganir	a v p ɔ r k a n ɪ r
afborgun	a v p ɔ r k ʏ n
afborgunum	a v p ɔ r k ʏ n ʏ m
afborið	a v p ɔ r ɪ ð
afbragð	a v p r a ɣ ð
afbragðs	a v p r a ɣ ð s
afbrigði	a v p r ɪ ɣ ð ɪ
afbrigðilegrar	a v p r ɪ ɣ ð ɪ l ɛ ɣ r a r
afbrigðilegt	a v p r ɪ ɣ ð ɪ l ɛ x t
afbrigðum	a v p r ɪ ɣ ð ʏ m
afbrot	a v p r ɔ t
afbrota	a v p r ɔ t a
afbrotamenn	a v p r ɔ t a m ɛ n
afbrotum	a v p r ɔ t ʏ m
afbrýði	a v p r i ð ɪ
afbrýðin	a v p r i ð ɪ n
afbrýðisemi	a v p r i ð ɪ s ɛː m ɪ
afbrýðisemin	a v p r i ð ɪ s ɛː m ɪ n
afbrýðisöm	a v p r i ð ɪ s œː m
afburða	a v p ʏ r ð a
afburðahestur	a v p ʏ r ð a h ɛ s t ʏ r
afdráttarlaus	a v t r au h t a r l œyː s
afdráttarlaust	a v t r au h t a r l œy s t
afdrep	a v t r ɛ p
afdrepið	a v t r ɛ p ɪ ð
afdrepinu	a v t r ɛ p ɪ n ʏ
afdrif	a v t r ɪ v
afdrifarík	a v t r ɪ v a r iː k
afdrifaríkar	a v t r ɪ v a r iː k a r
afdrifum	a v t r ɪ v ʏ m
affalla	a f a t l a
affalls	a f a l s
afferma	a f ɛ r m a
affermingu	a f ɛ r m i ŋ k ʏ
afföll	a f œ t l̥
afföllin	a f œ t l ɪ n
afgamalli	a v k a m a t l ɪ
Afgana	a v k a n a
Afganar	a v k a n a r
afgang	a v k au ŋ k
afgangateppi	a v k au ŋ k a tʰ ɛ h p ɪ
afgangi	a v k au ɲ c ɪ
afganginn	a v k au ɲ c ɪ n
afganginum	a v k au ɲ c ɪ n ʏ m
afgangur	a v k au ŋ k ʏ r
afgangurinn	a v k au ŋ k ʏ r ɪ n
Afganistan	a v k a n ɪ s t a n
Afganistans	a v k a n ɪ s t a n s
afganska	a v k a n s k a
afganskra	a v k a n s k r a
afgerandi	a v c ɛ r a n t ɪ
afgirt	a v c ɪ r̥ t
afglöp	a v k l œ p
afgreidd	a v k r ei t
afgreiddar	a v k r ei t a r
afgreiddi	a v k r ei t ɪ
afgreiða	a v k r ei ð a
afgreiði	a v k r ei ð ɪ
afgreiðsla	a v k r ei ð s t l a
afgreiðslu	a v k r ei ð s t l ʏ
afgreiðsluborð	a v k r ei ð s t l ʏ p ɔ r ð
afgreiðslugjöld	a v k r ei ð s t l ʏ c œ l t
afgreiðslukonan	a v k r ei ð s t l ʏ k ɔː n a n
afgreiðsluna	a v k r ei ð s t l ʏ n a
afgreiðslunni	a v k r ei ð s t l ʏ n ɪ
afgreiðslustelpan	a v k r ei ð s t l ʏ s t ɛ l̥ p a n
afgreiðslustúlkan	a v k r ei ð s t l ʏ s t u l̥ k a n
afgreiðslutíma	a v k r ei ð s t l ʏ t iː m a
afgreiðslutími	a v k r ei ð s t l ʏ t iː m ɪ
afgreitt	a v k r ei h t
afgönsku	a v k œ n s k ʏ
afhenda	aː v h ɛ n t a
afhending	aː v h ɛ n t i ŋ k
afhendingar	aː v h ɛ n t i ŋ k a r
afhendingartími	aː v h ɛ n t i ŋ k a r tʰ iː m ɪ
afhendingu	aː v h ɛ n t i ŋ k ʏ
afhendir	aː v h ɛ n t ɪ r
afhent	aː v h ɛ n̥ t
afhenta	aː v h ɛ n̥ t a
afhentan	aː v h ɛ n̥ t a n
afhentar	aː v h ɛ n̥ t a r
afhenti	aː v h ɛ n̥ t ɪ
afhentir	aː v h ɛ n̥ t ɪ r
afhentu	aː v h ɛ n̥ t ʏ
afhentum	aː v h ɛ n̥ t ʏ m
afhentur	aː v h ɛ n̥ t ʏ r
afhjúpað	a f ç u p a ð
afhjúpaði	a f ç u p a ð ɪ
afhjúpaður	a f ç u p a ð ʏ r
afhjúpar	a f ç u p a r
afhjúpuð	a f ç u p ʏ ð
afhjúpun	a f ç u p ʏ n
afhomma	aː f h ɔ m a
afhroð	a f r̥ ɔ ð
afhuga	aː f h ʏ ɣ a
afhöggvinn	aː f h œ k v ɪ n
afi	aː v ɪ
afkastagetu	a v k a s t a c ɛː t ʏ
afkastamesta	a v k a s t a m ɛ s t a
afkastamikill	a v k a s t a m ɪ c ɪ t l̥
afkastar	a v k a s t a r
afkáralega	a v k au r a l ɛ ɣ a
afkáralegum	a v k au r a l ɛ ɣ ʏ m
afkima	a v c ɪ m a
afklæddi	a v k l ai t ɪ
afklæddist	a v k l ai t ɪ s t
afklæðast	a v k l ai ð a s t
afkoma	a v k ɔ m a
afkoman	a v k ɔ m a n
afkomandi	a v k ɔ m a n t ɪ
afkomenda	a v k ɔ m ɛ n t a
afkomendum	a v k ɔ m ɛ n t ʏ m
afkomendur	a v k ɔ m ɛ n t ʏ r
afkomu	a v k ɔ m ʏ
afkomukreppu	a v kʰ ɔ m ʏ k r ɛ h p ʏ
afkomuna	a v k ɔ m ʏ n a
afkomutölur	a v k ɔ m ʏ t œː l ʏ r
afkomuviðvörun	a v k ɔ m ʏ v ɪ ð v œ r ʏ n
afkróuð	a v k r ou ʏ ð
afkvæmi	a v k v ai m ɪ
afkvæmum	a v k v ai m ʏ m
afköst	a v k œ s t
afköstin	a v k œ s t ɪ n
afköstum	a v k œ s t ʏ m
afl	a p l̥
afla	a p l a
aflabrögð	a p l a p r œ ɣ ð
aflað	a p l a ð
aflaði	a p l a ð ɪ
aflaga	a v l a ɣ a
Aflagranda	a p l a k r a n t a
Aflagrandi	a p l a k r a n t ɪ
aflaheimilda	a p l a h ei m ɪ l t a
aflaheimildir	a p l a h ei m ɪ l t ɪ r
aflaheimildum	a p l a h ei m ɪ l t ʏ m
aflahlutdeild	a p l a l̥ ʏː t ei l t
aflahlutdeilda	a p l a l̥ ʏː t ei l t a
aflahlutdeildar	a p l a l̥ ʏː t ei l t a r
aflahlutdeildir	a p l a l̥ ʏː t ei l t ɪ r
aflahlutdeildum	a p l a l̥ ʏː t ei l t ʏ m
aflamark	a p l a m a r̥ k
aflamarki	a p l a m a r̥ c ɪ
aflamarks	a p l a m a r̥ k s
aflamarkskerfi	a p l a m a r̥ k s c ɛ r v ɪ
aflamarkskerfið	a p l a m a r̥ k s c ɛ r v ɪ ð
aflann	a p l a n
aflans	a p l a n s
aflanum	a p l a n ʏ m
aflar	a p l a r
aflaskipinu	a p l a s c ɪː p ɪ n ʏ
aflaskýrslu	a p l a s c i s t l ʏ
aflausn	a v l œy s t n̥
aflaverðmæti	a p l a v ɛ r ð m ai t ɪ
afláts	a v l au t s
afleggjara	a v l ɛ c a r a
afleggjaranum	a v l ɛ c a r a n ʏ m
afleiðing	a v l ei ð i ŋ k
afleiðinga	a v l ei ð i ŋ k a
afleiðingar	a v l ei ð i ŋ k a r
afleiðingarnar	a v l ei ð i ŋ k a t n a r
afleiðingin	a v l ei ð i ɲ c ɪ n
afleiðingum	a v l ei ð i ŋ k ʏ m
afleiðingunum	a v l ei ð i ŋ k ɔ n ʏ m
afleit	a v l ei t
afleitt	a v l ei h t
aflestrar	a v l ɛ s t r a r
aflétt	a v l j ɛ h t
aflétta	a v l j ɛ h t a
aflhnefa	a p l n̥ ɛ v a
aflhnefi	a p l n̥ ɛ v ɪ
afli	a p l ɪ
aflið	a p l ɪ ð
aflinn	a p l ɪ n
aflíðandi	a v l i ð a n t ɪ
aflmeiri	a p l m ei r ɪ
aflmiklar	a p l m ɪ h k l a r
afloknu	a v l ɔ h k n ʏ
afloknum	a v l ɔ h k n ʏ m
aflóga	a v l ou a
afls	a p l̥ s
aflspennar	a p l̥ s p ɛ n a r
aflstýri	a p l̥ s t i r ɪ
aflýsa	a v l i s a
aflýst	a v l i s t
aflögð	a v l œ ɣ ð
aflögu	a v l œ ɣ ð ʏ
afmarka	a v m a r̥ k a
afmarkað	a v m a r̥ k a ð
afmarkaða	a v m a r̥ k a ð a
afmarkast	a v m a r̥ k a s t
afmá	a v m au
afmáir	a v m au ɪ r
afmyndað	a v m ɪ n t a ð
afmyndaðist	a v m ɪ n t a ð ɪ s t
afmæli	a m ai l ɪ
afmælið	a m ai l ɪ ð
afmælinu	a m ai l ɪ n ʏ
afmælis	a m ai l ɪ s
afmælisbarns	a m ai l ɪ s p a r̥ s
afmælisdag	a m ai l ɪ s t aː ɣ
afmælisdegi	a m ai l ɪ s t eiː j ɪ
afmælisfréttir	a m ai l ɪ s f r j ɛ h t ɪ r
afmælisgjöf	a m ai l ɪ s c œː v
afmælisgreina	a m ai l ɪ s k r eiː n a
afmælishátíð	a m ai l ɪ s h auː t i ð
afmælisins	a m ai l ɪ s ɪ n s
afmæliskveðjur	a m ai l ɪ s k v ɛ ð j ʏ r
afmælistilkynningum	a m ai l ɪ s t ɪ l c ɪ n i ŋ k ʏ m
afmælisveislu	a m ai l ɪ s v ei s t l ʏ
afmælum	a m ai l ʏ m
afmörkuð	a v m œ r̥ k ʏ ð
afmörkuðu	a v m œ r̥ k ʏ ð ʏ
afmörkuðum	a v m œ r̥ k ʏ ð ʏ m
afmörkun	a v m œ r̥ k ʏ n
afnám	a v n au m
afnámi	a v n au m ɪ
afnáms	a v n au m s
afneita	a v n ei t a
afneitað	a v n ei t a ð
afneitun	a v n ei t ʏ n
afnema	a v n ɛ m a
afnot	a v n ɔ t
afnota	a v n ɔ t a
afnotagjald	a v n ɔ t a c a l t
afnotagjöld	a v n ɔ t a c œ l t
afnotarétt	a v n ɔ t a r j ɛ h t
afnotum	a v n ɔ t ʏ m
afnumið	a v n ʏ m ɪ ð
afnumin	a v n ʏ m ɪ n
afoxun	aː f ɔ k s ʏ n
afplána	a v p l au n a
afplánun	a v p l au n ʏ n
afrakstur	a v r a k s t ʏ r
afraksturinn	a v r a k s t ʏ r ɪ n
afrek	a v r ɛ k
afreka	a v r ɛ k a
afrekað	a v r ɛ k a ð
afreki	a v r ɛ c ɪ
afreksbikar	a v r ɛ x s p ɪː k a r
afreksmaður	a v r ɛ x s m aː ð ʏ r
afreksstig	a v r ɛ x s t ɪː ɣ
afrekum	a v r ɛ k ʏ m
afréð	a v r j ɛ ð
afréðu	a v r j ɛ ð ʏ
afréðum	a v r j ɛ ð ʏ m
afréttarlöndin	a v r j ɛ h t a r l œ n t ɪ n
afrétti	a v r j ɛ h t ɪ
afrifu	a v r ɪ v ʏ
afrit	a v r ɪ t
